timestamp,unix_time,temp_c,temp_ambient_c,humidity_pct,dew_point_c,power_watts,voltage_v,peltier_duty,fan1_duty,fan2_duty,fan1_rpm,fan2_rpm,control_mode,system_safe,temp_error
2026-01-01 00:00:00.000,1735689600.0,37.29,24.86,46.2,13.57,15.25,12.08,0,40,40,300,280,PID,1,-7.71
2026-01-01 00:00:00.500,1735689600.5,37.52,24.97,48.3,13.98,15.04,12.08,0,40,40,300,280,PID,1,-7.48
2026-01-01 00:00:01.000,1735689601.0,37.65,24.84,49.2,14.01,15.53,12.01,0,40,40,300,280,PID,1,-7.35
2026-01-01 00:00:01.500,1735689601.5,37.82,24.94,53.8,14.24,16.08,12.08,0,40,40,300,280,PID,1,-7.18
2026-01-01 00:00:02.000,1735689602.0,38.61,24.62,51.1,13.32,15.3,12.14,0,40,40,300,280,PID,1,-6.39
2026-01-01 00:00:02.500,1735689602.5,38.91,25.04,47.3,14.3,15.41,12.04,0,40,40,300,280,PID,1,-6.09
2026-01-01 00:00:03.000,1735689603.0,39.45,25.0,51.0,12.65,16.42,12.15,0,40,40,300,280,PID,1,-5.55
2026-01-01 00:00:03.500,1735689603.5,39.77,24.84,46.9,13.69,16.12,12.12,0,40,40,300,280,PID,1,-5.23
2026-01-01 00:00:04.000,1735689604.0,40.29,25.13,52.2,13.76,15.6,12.06,0,40,40,300,280,PID,1,-4.71
2026-01-01 00:00:04.500,1735689604.5,40.22,25.19,49.1,14.32,16.21,12.09,0,40,40,300,280,PID,1,-4.78
2026-01-01 00:00:05.000,1735689605.0,41.18,24.68,49.8,14.01,15.81,12.18,0,40,40,300,280,PID,1,-3.82
2026-01-01 00:00:05.500,1735689605.5,41.26,24.85,52.7,13.3,15.92,12.14,0,40,40,300,280,PID,1,-3.74
2026-01-01 00:00:06.000,1735689606.0,42.23,24.85,47.4,13.51,16.37,12.1,0,40,40,300,280,PID,1,-2.77
2026-01-01 00:00:06.500,1735689606.5,41.82,24.81,47.2,14.1,15.4,12.09,0,40,40,300,280,PID,1,-3.18
2026-01-01 00:00:07.000,1735689607.0,42.96,25.17,48.8,13.96,15.6,12.1,0,40,40,300,280,PID,1,-2.04
2026-01-01 00:00:07.500,1735689607.5,42.92,24.96,52.1,13.71,16.28,12.07,0,40,40,300,280,PID,1,-2.08
2026-01-01 00:00:08.000,1735689608.0,43.09,24.95,47.0,13.76,16.16,11.99,0,40,40,300,280,PID,1,-1.91
2026-01-01 00:00:08.500,1735689608.5,43.57,24.6,44.3,14.35,16.93,12.2,0,40,40,300,280,PID,1,-1.43
2026-01-01 00:00:09.000,1735689609.0,44.05,25.13,49.1,13.74,16.42,12.11,0,40,40,300,280,PID,1,-0.95
2026-01-01 00:00:09.500,1735689609.5,44.71,24.75,51.1,13.96,16.27,12.12,0,40,40,300,280,PID,1,-0.29
2026-01-01 00:00:10.000,1735689610.0,45.17,25.01,52.4,15.08,17.81,12.1,1,41,41,300,280,PID,1,0.17
2026-01-01 00:00:10.500,1735689610.5,44.97,25.06,49.1,13.29,17.07,12.06,0,40,40,300,280,PID,1,-0.03
2026-01-01 00:00:11.000,1735689611.0,45.26,25.27,49.2,13.07,17.32,12.09,2,42,42,300,280,PID,1,0.26
2026-01-01 00:00:11.500,1735689611.5,46.04,24.74,52.3,14.39,16.67,12.02,10,48,48,302,302,PID,1,1.04
2026-01-01 00:00:12.000,1735689612.0,46.04,24.4,46.3,13.66,17.21,12.21,10,48,48,302,302,PID,1,1.04
2026-01-01 00:00:12.500,1735689612.5,45.78,25.04,49.2,13.84,17.64,12.04,7,46,46,300,289,PID,1,0.78
2026-01-01 00:00:13.000,1735689613.0,45.79,25.36,50.4,13.61,17.11,12.05,7,46,46,300,289,PID,1,0.79
2026-01-01 00:00:13.500,1735689613.5,45.94,25.25,50.9,13.87,17.98,12.08,9,47,47,300,297,PID,1,0.94
2026-01-01 00:00:14.000,1735689614.0,46.21,25.04,49.0,14.8,17.59,12.16,12,49,49,310,310,PID,1,1.21
